"","name","semimajor_axis","radius","mass","density","eccentricity","insolation","temprature","escape_vel","ESI","SType","TType","parent"
"57","Kapteyn c",0.311,NA,7,NA,0.23,NA,NA,NA,NA,"S","C",57
"58","Kepler-102 b",0.05521,0.46,1.1,62,0.1,90,857,1.546384282,0.186334358,"R","H",58
"59","Kepler-102 c",0.06702,0.567,1.7,52,0.094,61,777,1.731541605,0.217460573,"R","H",58
"60","Kepler-102 d",0.08618,1.154,3,10.7,0.092,36.9,686,1.612344064,0.362426899,"E","H",58
"61","Kepler-102 e",0.1162,2.17,4.7,2.5,0.089,20.3,590,1.471699228,0.393284117,"S","H",58
"62","Kepler-102 f",0.1656,0.861,4.3,37,0.1,10,495,2.234769071,0.370016181,"R","H",58
"63","Kepler-109 b",0.0701,2.49,4.9,1.7,0.11,442,1276,1.402808428,0.157849479,"S","H",63
"64","Kepler-109 c",0.1546,2.65,8.2,2.4,0.098,91,859,1.759073513,0.255210208,"S","H",63
"65","Kepler-111 b",0.046,1.58,NA,NA,NA,NA,NA,NA,NA,"E","H",65
"66","Kepler-111 c",0.751,7.084,222.47988,3.42,0.176,4590,352,5.604102817,0.485591133,"J","W",65
"67","Kepler-138 b",0.0753,0.64,0.07,1.7,0.02,9.9,452,0.330718914,0.44287132,"R","H",67
"68","Kepler-138 c",0.0913,1.51,2.3,3.6,0.017,6.8,410,1.234171304,0.615714474,"E","H",67
"69","Kepler-138 d",0.1288,1.51,2.1,3.6,0.01,3.4,345,1.179291515,0.71381351,"E","W",67
"70","Kepler-138 e",0.1803,NA,0.43,NA,0.112,1.73,292,NA,NA,"R","W",67
"71","Kepler-1514 b",0.753,12.42,1678.1424,4.82,0.401,3.23,388,11.62394663,0.392377652,"J","W",71
"72","Kepler-1514 c",0.0997,1.176,NA,NA,0.32,193,1066,NA,NA,"E","H",71
"73","Kepler-22 b",0.812,2.1,9.1,5.2,0.72,1.01,279,2.081665999,0.810431005,"S","W",73
"74","Kepler-37 b",0.1019,0.31,0.79,140,0.098,44.5,718,1.596366843,0.174897826,"R","H",74
"75","Kepler-37 c",0.139,0.755,1.3,15,0.099,23.9,615,1.312194461,0.383690244,"R","H",74
"76","Kepler-37 d",0.2109,2.03,2,1.3,0.1,10.39,499,0.992583334,0.421912608,"S","H",74
"77","Kepler-37 e",0.25,0.37,NA,NA,NA,NA,401,NA,NA,"R","H",74
"78","Kepler-45 b",0.03,10.76,160.497,0.8,0.11,NA,1000,3.862133875,0.131171864,"J","H",78
"79","Kepler-553 b",0.04766,4.741,116.00737,6.001553854,NA,436000,1089,4.946611614,0.181899182,"N","H",79
"80","Kepler-553 c",0.898,11.579,2129.45033,7.53,0.346,1090,251,13.56120341,0.514035338,"J","W",79
"81","Kepler-62 b",0.0553,1.31,9,22.07072578,NA,NA,750,2.62111217,0.268210554,"E","H",81
"82","Kepler-62 c",0.0929,0.54,4,140.0447086,NA,NA,578,2.72165527,0.215694027,"R","H",81
"83","Kepler-62 d",0.12,1.95,14,10.40907635,NA,NA,510,2.679456508,0.437804104,"S","H",81
"84","Kepler-62 e",0.427,1.61,36,47.55682639,NA,NA,270,4.728662437,0.505166641,"E","W",81
"85","Kepler-62 f",0.718,1.41,35,68.8333171,NA,NA,208,4.982237955,0.415549793,"E","W",81
"86","Kepler-849 b",1.137,8.082,298.7587,3.09,0.078,5290,363,6.079961895,0.452358531,"J","W",86
"87","Kepler-87 b",0.481,13.49,324.2,0.729,0.036,NA,478,4.902307289,0.254971913,"J","H",87
"88","Kepler-87 c",0.676,6.14,6.4,0.152,0.039,NA,403,1.020953122,0.266855198,"J","H",87
"89","Kepler-968 b",NA,2,NA,NA,NA,NA,745,NA,NA,"S","H",53
"90","Kepler-968 c",NA,1.69,NA,NA,NA,NA,644,NA,NA,"E","H",53
"91","LP 791-18 b",0.00978,1.212,NA,NA,NA,24.14,564,NA,NA,"E","H",91
"92","LP 791-18 c",0.02961,2.438,7.1,2.701128451,8e-05,2.64,324,1.706523699,0.657542519,"S","W",91
"93","LP 791-18 d",0.01992,1.032,0.9,4.514310323,0.0015,5.83,396,0.93385921,0.685961266,"E","W",91
"94","LP 890-9 b",0.01875,1.32,13.2,31.6402663,NA,4.09,396,3.16227766,0.442689869,"E","W",94
"95","LP 890-9 c",0.03984,1.367,25.3,54.60129837,NA,0.91,272,4.302055445,0.499552191,"E","W",94
"96","TOI-1052 b",0.09103,2.87,16.9,3.93,0.18,246,1135,2.426623527,0.194744388,"S","H",96
"97","TOI-1052 c",0.2263,NA,34.3,NA,0.237,39.7,719,NA,NA,"N","H",96
"98","TOI-1231 b",0.1288,3.65,15.4,1.74,0.087,1.93,330,2.054063797,0.558693014,"N","W",98
"99","TOI-125 b",0.05186,2.726,9.5,2.57,0.194,185,1037,1.866804662,0.208154789,"S","H",99
"100","TOI-125 c",0.0814,2.759,6.63,1.73,0.066,77.59,828,1.550175661,0.251424625,"S","H",99
"101","TOI-125 d",0.137,2.93,13.6,2.98,0.168,26.7,638,2.154446153,0.34917382,"S","H",99
"102","TOI-1386 b",0.173,6.216,45.8,1.04,0,NA,615,2.714421185,0.261008141,"J","H",102
"103","TOI-1386 c",0.75,NA,75.2,NA,0.38,NA,NA,NA,NA,"J","H",102
"104","TOI-1422 b",0.108,3.96,9,0.795,0.04,NA,867,1.507556723,0.194457665,"N","H",104
"105","TOI-1468 b",NA,1.28,3.21,8.438458443,NA,36,682,1.583607432,0.377204095,"E","H",105
"106","TOI-1468 c",NA,2.064,6.64,4.163197298,NA,2.15,338,1.793614859,0.69087116,"S","W",105
"107","TOI-1470 b",0.0285,2.18,7.32,3.86,0.3,46.3,734,1.83242958,0.331951763,"S","H",107
"108","TOI-1470 c",0.106,2.47,7.24,2.66,0.5,3.35,373,1.712067198,0.584491902,"S","W",107
"109","TOI-1518 b",0.0389,21.017,731.00534,0.434106581,0.01,NA,2492,5.897594556,0.03264151,"J","H",109
"110","TOI-1749 b",0.0291,1.39,57,117.008779,0.14,NA,831,6.403685989,0.141850042,"E","H",110
"111","TOI-1749 c",0.0443,2.12,14,8.100436938,0.019,NA,673,2.569780844,0.347767602,"S","H",110
"112","TOI-1749 d",0.0707,2.52,15,5.167466016,0.062,NA,533,2.439750182,0.453302609,"S","H",110
"113","TOI-1776 b",0.0378,1.216,1.4,4.13,0,NA,1269,1.072993844,0.204051812,"E","H",113
"114","TOI-2010 b",0.5516,11.814,408.72733,1.36,0.212,4.09,400,5.881909741,0.340288442,"J","W",114
"115","TOI-2088 b",0.472,3.683,37,2,0,NA,300,3.169567482,0.584862876,"N","W",115
"116","TOI-2095 b",0.101,1.25,4.1,11.5728896,0,3.43,347,1.811077028,0.653849551,"E","W",116
"117","TOI-2095 c",0.137,1.33,7.4,17.34062671,0,1.84,297,2.358794136,0.658458501,"E","W",116
"118","TOI-2120 b",0.0377,2.122,6.8,20.6,0.32,3.61,384,1.790118441,0.513287512,"S","W",118
"119","TOI-2134 b",0.078,2.69,9.13,2.607,0.06,32,666,1.84229532,0.335613081,"S","H",119
"120","TOI-2134 c",0.371,7.27,41.89,0.599,0.67,1.4,306,2.40042408,0.421458248,"J","W",119
"121","TOI-2136 b",0.057,2.19,6.37,3.34,0,4,395,1.705484037,0.586774522,"S","W",121
"122","TOI-2180 b",0.828,11.321,875.61726,3.32,0.3683,2.71,348,8.794573071,0.428648457,"J","W",122
"123","TOI-2196 b",0.02234,3.51,26,3.31,0,2000,1860,2.72165527,0.101708588,"N","H",123
"124","TOI-2374 b",0.0471,6.81,56.64,0.98,0.13,NA,885,2.883952256,0.173292116,"J","H",124
"125","TOI-270 b",0.03197,1.206,1.58,4.97,0.034,NA,581,1.144603026,0.481982346,"E","H",125
"126","TOI-270 c",0.04526,2.355,6.15,2.6,0.027,NA,488,1.616002775,0.46551642,"S","H",125
"127","TOI-270 d",0.0721,2.133,4.78,2.72,0.032,NA,387,1.496988695,0.585820692,"S","W",125
"128","TOI-3785 b",0.043,5.14,14.95,0.61,0.11,19.1,582,1.705450178,0.26306787,"N","H",128
"129","TOI-4010 b",0.0229,3.02,11,2.2,0.03,714,1441,1.908503106,0.136500842,"S","H",129
"130","TOI-4010 c",0.058,5.93,20.31,0.5,0.03,112,907,1.850664162,0.154471345,"N","H",129
"131","TOI-4010 d",0.113,6.18,38.15,0.9,0.07,30,650,2.484580278,0.241899571,"J","H",129
"132","TOI-4010 e",1.57,NA,692,NA,0.26,0.15,174,NA,NA,"J","C",129
