pl_name,hostname,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,ra,dec,sy_vmag,EscVal,ESI,lmin,lmax,SType,TType,Show
KOI-3680 b,KOI-3680,1,141.241671,0.534,11.097,613.4119,2.46,0.496,,347,,5830,0.96,1.01,0.16,-0.019893465,293.2815266,45.3096572,14.616,7.434868737,0.419441966,1.632186339,0.967583519,J,W,1
Kapteyn c,Kapteyn,1,121.54,0.311,,7,,0.23,,,,3550,0.29,0.28,-0.89,-1.921400742,77.9586613,-45.0430198,8.86,,,0.182816799,0.108376426,S,C,1
Kepler-102 b,Kepler-102,5,5.286965,0.05521,0.46,1.1,62,0.1,90,857,,4909,0.72,0.8,0.11,-0.568473029,281.4824731,47.2078263,12.072,1.546384282,0.186334358,0.867920521,0.514515758,R,H,1
Kepler-102 c,Kepler-102,5,7.071392,0.06702,0.567,1.7,52,0.094,61,777,,4909,0.72,0.8,0.11,-0.568473029,281.4824731,47.2078263,12.072,1.731541605,0.217460573,0.867920521,0.514515758,R,H,1
Kepler-102 d,Kepler-102,5,10.311767,0.08618,1.154,3,10.7,0.092,36.9,686,,4909,0.72,0.8,0.11,-0.568473029,281.4824731,47.2078263,12.072,1.612344064,0.362426899,0.867920521,0.514515758,E,H,1
Kepler-102 e,Kepler-102,5,16.1456994,0.1162,2.17,4.7,2.5,0.089,20.3,590,,4909,0.72,0.8,0.11,-0.568473029,281.4824731,47.2078263,12.072,1.471699228,0.393284117,0.867920521,0.514515758,S,H,1
Kepler-102 f,Kepler-102,5,27.453592,0.1656,0.861,4.3,37,0.1,10,495,,4909,0.72,0.8,0.11,-0.568473029,281.4824731,47.2078263,12.072,2.234769071,0.370016181,0.867920521,0.514515758,R,H,1
Kepler-109 b,Kepler-109,2,6.4816307,0.0701,2.49,4.9,1.7,0.11,442,1276,,5950,1.39,1.09,-0.02,0.336987313,290.3926795,40.2849074,12.398,1.402808428,0.157849479,2.46155831,1.459247142,S,H,1
Kepler-109 c,Kepler-109,2,21.22265,0.1546,2.65,8.2,2.4,0.098,91,859,,5950,1.39,1.09,-0.02,0.336987313,290.3926795,40.2849074,12.398,1.759073513,0.255210208,2.46155831,1.459247142,S,H,1
Kepler-111 b,Kepler-111,2,3.341815,0.046,1.58,,,,,,,5952,1.16,,,0.180457519,291.653163,44.6882613,13.543,,,2.055631341,1.218607801,E,H,1
Kepler-111 c,Kepler-111,2,224.77833,0.751,7.084,222.47988,3.42,0.176,4590,352,,5914,1.15,1.12,0.237,0.158,291.653163,44.6882613,13.543,5.604102817,0.485591133,2.003163836,1.18750431,J,W,1
Kepler-138 b,Kepler-138,4,10.3134,0.0753,0.64,0.07,1.7,0.02,9.9,452,,3841,0.54,0.54,-0.18,-1.252,290.3814122,43.2930645,13.04,0.330718914,0.44287132,0.395108589,0.23422605,R,H,1
Kepler-138 c,Kepler-138,4,13.7815,0.0913,1.51,2.3,3.6,0.017,6.8,410,,3841,0.54,0.54,-0.18,-1.252,290.3814122,43.2930645,13.04,1.234171304,0.615714474,0.395108589,0.23422605,E,H,1
Kepler-138 d,Kepler-138,4,23.0923,0.1288,1.51,2.1,3.6,0.01,3.4,345,,3841,0.54,0.54,-0.18,-1.252,290.3814122,43.2930645,13.04,1.179291515,0.71381351,0.395108589,0.23422605,E,W,1
Kepler-138 e,Kepler-138,4,38.23,0.1803,,0.43,,0.112,1.73,292,,3841,0.54,0.54,-0.18,-1.252,290.3814122,43.2930645,13.04,,,0.395108589,0.23422605,R,W,1
Kepler-1514 b,Kepler-1514,2,217.83184,0.753,12.42,1678.1424,4.82,0.401,3.23,388,,6145,1.29,1.2,0.119,0.328,292.6274943,37.8601653,11.766,11.62394663,0.392377652,2.436219815,1.444226118,J,W,1
Kepler-1514 c,Kepler-1514,2,10.514181,0.0997,1.176,,,0.32,193,1066,,6145,1.29,1.2,0.119,0.328,292.6274943,37.8601653,11.766,,,2.436219815,1.444226118,E,H,1
Kepler-22 b,Kepler-22,1,289.863876,0.812,2.1,9.1,5.2,0.72,1.01,279,,5596,0.87,0.86,-0.255,-0.176560822,289.2172051,47.8841427,11.751,2.081665999,0.810431005,1.362812349,0.807894746,S,W,1
Kepler-37 b,Kepler-37,4,13.36702,0.1019,0.31,0.79,140,0.098,44.5,718,,5357,0.79,0.79,-0.36,-0.336169382,284.0592503,44.5183733,9.770001,1.596366843,0.174897826,1.134048896,0.672280483,R,H,1
Kepler-37 c,Kepler-37,4,21.301848,0.139,0.755,1.3,15,0.099,23.9,615,,5357,0.79,0.79,-0.36,-0.336169382,284.0592503,44.5183733,9.770001,1.312194461,0.383690244,1.134048896,0.672280483,R,H,1
Kepler-37 d,Kepler-37,4,39.7922622,0.2109,2.03,2,1.3,0.1,10.39,499,,5357,0.79,0.79,-0.36,-0.336169382,284.0592503,44.5183733,9.770001,0.992583334,0.421912608,1.134048896,0.672280483,S,H,1
Kepler-37 e,Kepler-37,4,51.196,0.25,0.37,,,,,401,,,0.77,0.8,,,284.0592503,44.5183733,9.770001,,,,,R,H,1
Kepler-45 b,Kepler-45,1,2.455239,0.03,10.76,160.497,0.8,0.11,,1000,M,3820,0.55,0.59,0.28,-1.238131319,292.8729292,41.0641727,16.744,3.862133875,0.131171864,0.401467886,0.237995933,J,H,1
Kepler-553 b,Kepler-553,2,4.030467,0.04766,4.741,116.00737,6.001553854,,436000,1089,,5191,0.9,0.89,0.152,-0.271,298.5508922,48.3325405,15.034,4.946611614,0.181899182,1.22240881,0.72466151,N,H,1
Kepler-553 c,Kepler-553,2,328.24017,0.898,11.579,2129.45033,7.53,0.346,1090,251,,5191,0.9,0.89,0.152,-0.271,298.5508922,48.3325405,15.034,13.56120341,0.514035338,1.22240881,0.72466151,J,W,1
Kepler-62 b,Kepler-62,5,5.714932,0.0553,1.31,9,22.07072578,,,750,K2 V,4925,0.64,0.69,-0.37,-0.678,283.2125621,45.3496992,13.965,2.62111217,0.268210554,0.765096951,0.453560468,E,H,1
Kepler-62 c,Kepler-62,5,12.4417,0.0929,0.54,4,140.0447086,,,578,K2 V,4925,0.64,0.69,-0.37,-0.678,283.2125621,45.3496992,13.965,2.72165527,0.215694027,0.765096951,0.453560468,R,H,1
Kepler-62 d,Kepler-62,5,18.16406,0.12,1.95,14,10.40907635,,,510,K2 V,4925,0.64,0.69,-0.37,-0.678,283.2125621,45.3496992,13.965,2.679456508,0.437804104,0.765096951,0.453560468,S,H,1
Kepler-62 e,Kepler-62,5,122.3874,0.427,1.61,36,47.55682639,,,270,K2 V,4925,0.64,0.69,-0.37,-0.678,283.2125621,45.3496992,13.965,4.728662437,0.505166641,0.765096951,0.453560468,E,W,1
Kepler-62 f,Kepler-62,5,267.291,0.718,1.41,35,68.8333171,,,208,K2 V,4925,0.64,0.69,-0.37,-0.678,283.2125621,45.3496992,13.965,4.982237955,0.415549793,0.765096951,0.453560468,E,W,1
Kepler-849 b,Kepler-849,1,394.62508,1.137,8.082,298.7587,3.09,0.078,5290,363,,5950,1.82,1.26,0.145,0.573,290.8517961,48.5213243,12.878,6.079961895,0.452358531,3.230103744,1.91485192,J,W,1
Kepler-87 b,Kepler-87,2,114.73635,0.481,13.49,324.2,0.729,0.036,,478,,5600,1.82,1.1,-0.17,0.465784734,297.9168433,46.9651146,14.681,4.902307289,0.254971913,2.855017917,1.692495652,J,H,1
Kepler-87 c,Kepler-87,2,191.2318,0.676,6.14,6.4,0.152,0.039,,403,,5600,1.82,1.1,-0.17,0.465784734,297.9168433,46.9651146,14.681,1.020953122,0.266855198,2.855017917,1.692495652,J,H,1
Kepler-968 b,Kepler-968,3,3.69298373,,2,,,,,745,,4598,0.7,0.76,0.13,-0.706638202,285.6025889,50.1120401,14.626,,,0.740282307,0.438849991,S,H,1
